neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Brooklyn,Williamsburg,40.71846,-73.9616,Entire home/apt,1,0,,4,177,2000
Brooklyn,Greenpoint,40.72646,-73.95341,Private room,3,29,0.36,1,15,59
Queens,Sunnyside,40.7441,-73.92153,Entire home/apt,2,31,3.31,1,169,115
Brooklyn,Williamsburg,40.71122,-73.95922,Entire home/apt,3,2,0.06,1,0,160
Manhattan,Washington Heights,40.83668,-73.94476,Private room,13,2,0.17,1,0,37
Brooklyn,Cobble Hill,40.68785,-73.99181,Entire home/apt,3,13,0.22,1,0,145
Brooklyn,Williamsburg,40.7121,-73.96156,Private room,1,1,0.03,3,0,80
Queens,Sunnyside,40.74457,-73.9194,Entire home/apt,21,0,,1,0,82
Bronx,Woodlawn,40.89753,-73.87359,Private room,1,6,0.71,1,0,50
Brooklyn,Williamsburg,40.71435,-73.95073,Entire home/apt,3,4,0.05,1,0,200
Manhattan,Hell's Kitchen,40.76181,-73.98757,Entire home/apt,2,53,1.06,1,0,160
Brooklyn,Bedford-Stuyvesant,40.69527,-73.9365,Entire home/apt,3,44,1.4,1,64,169
Brooklyn,Williamsburg,40.70666,-73.96526,Entire home/apt,3,31,0.57,1,0,210
Manhattan,Financial District,40.71086,-74.00721,Entire home/apt,2,3,0.36,1,158,525
Brooklyn,Prospect-Lefferts Gardens,40.65531,-73.96161,Private room,4,6,0.22,1,6,50
Brooklyn,Flatbush,40.64372,-73.95969,Entire home/apt,3,12,0.22,1,0,120
Manhattan,Nolita,40.72354,-73.99333,Private room,1,1,0.3,8,0,84
Brooklyn,Bedford-Stuyvesant,40.68057,-73.95249,Entire home/apt,3,6,0.46,1,1,113
Manhattan,Harlem,40.80403,-73.95615,Entire home/apt,2,6,0.12,1,0,200
Manhattan,East Village,40.72791,-73.98929,Entire home/apt,10,5,0.24,1,0,150
Manhattan,Greenwich Village,40.73004,-74.00128,Entire home/apt,3,1,0.26,1,7,350
Manhattan,SoHo,40.72044,-73.9998,Entire home/apt,2,0,,1,2,800
Queens,Jamaica,40.67203,-73.76711,Private room,1,0,,2,179,159
Brooklyn,Prospect-Lefferts Gardens,40.65854,-73.962,Entire home/apt,2,2,0.15,1,0,75
Manhattan,Midtown,40.75249,-73.9689,Entire home/apt,3,1,1.0,1,5,140
Manhattan,Harlem,40.82887,-73.9487,Private room,2,3,0.16,1,0,55
Manhattan,East Village,40.72429,-73.98784,Private room,90,0,,1,173,80
Brooklyn,Bedford-Stuyvesant,40.68874,-73.95684,Private room,2,14,0.52,1,0,54
Brooklyn,Greenpoint,40.72833,-73.94781,Entire home/apt,3,15,0.3,1,0,350
Queens,Ditmars Steinway,40.77811,-73.91065,Private room,1,5,4.69,2,31,70
Brooklyn,Gravesend,40.59087,-73.97275,Shared room,7,1,0.67,6,313,25
